type	latitude	longitude	eos	name	desc	kml_folder
T	59.347816276	18.076595459				
T	59.347944875	18.076824046				
T	59.348337160	18.077991098				
T	59.348403101	18.078225814				
T	59.348535023	18.078695388				
T	59.348733004	18.079400116				
T	59.349060148	18.080335005				
T	59.349127777	18.080690560				
T	59.349261531	18.081281537				
T	59.349458402	18.081867486				
T	59.349721597	18.082689466				
T	59.349920288	18.083396761				
T	59.350119098	18.084104496				
T	59.350580368	18.085516394				
T	59.351306754	18.087756508				
T	59.352178917	18.091322842				
T	59.352899578	18.092849012				
T	59.353095562	18.093199806				
T	59.353352436	18.093304478				
T	59.353801320	18.093396949				
T	59.354250857	18.093489557				
T	59.354833985	18.093938411				
T	59.355220766	18.094035615				
T	59.355413564	18.094023492				
T	59.355609576	18.094254523				
T	59.355870082	18.094481703				
T	59.356391745	18.094936639				
T	59.356522297	18.095050494				
T	59.357183611	18.096229934				
T	59.357850940	18.097777923				
T	59.358451627	18.099088425				
T	59.358722228	18.099929620				
T	59.358723777	18.100051805				
T	59.358729971	18.100540546				
T	59.358301820	18.102639723				
T	59.357687694	18.105354347				
T	59.357314885	18.106590318				
T	59.357002508	18.107456664				
T	59.356635151	18.109055082				
T	59.356022855	18.111633518				
T	59.355717935	18.112981463				
T	59.355665868	18.113955787				
T	59.355671990	18.114441930				
T	59.355555632	18.115417777				
T	59.355443901	18.116757662				
T	59.355321516	18.117246773				
T	59.354809592	18.117380813				
T	59.354100415	18.117034437				
T	59.354620319	18.117628162				
T	59.355411710	18.119310190				
T	59.355442209	18.121739603				
T	59.355385580	18.122348005				
T	59.355003419	18.122597053				
T	59.354749925	18.122843795				
T	59.354312133	18.123699437				
T	59.353998293	18.124188659				
T	59.353259126	18.126377290				
T	59.352897786	18.128074267				
T	59.352712742	18.128559228				
T	59.352591457	18.129043544				
T	59.352346013	18.129769900				
T	59.351978222	18.130858291				
T	59.351487025	18.132186693				
T	59.350992115	18.133151209				
T	59.350874528	18.133874202				
T	59.350687716	18.134114684				
T	59.350323443	18.135317694				
T	59.349955114	18.136158173				
T	59.349713307	18.136998586				
T	59.349467203	18.137477574				
T	59.349042986	18.138795456				
T	59.348743539	18.139992959				
T	59.348564015	18.140710862				
T	59.348444391	18.141189212				
T	59.348323324	18.141547366				
T	59.348203796	18.142025343				
T	59.347963395	18.142860782				
T	59.347784335	18.143576817				
T	59.347606870	18.144412266				
T	59.347498028	18.145727850				
T	59.347380312	18.146324072				
T	59.347259674	18.146680490				
T	59.346969408	18.148468758				
T	59.346914351	18.149065600				
T	59.346735914	18.149778375				
T	59.346557583	18.150490707				
T	59.346443189	18.151324167				
T	59.346266509	18.152155219				
T	59.345797832	18.154528135				
T	59.345688142	18.155717984				
T	59.345397898	18.157377225				
T	59.345158262	18.158082842				
T	59.345161200	18.158321516				
T	59.345047327	18.159151302				
T	59.344937898	18.160338607				
T	59.344760628	18.161045398				
T	59.344649832	18.162112483				
T	59.344531754	18.162583115				
T	59.344475660	18.163056741				
T	59.344362038	18.163884533				
T	59.344189492	18.164946893				
T	59.344137841	18.165777335				
T	59.344031639	18.167199529				
T	59.343977090	18.167791327	1			
T	59.354491163	18.079894914				
T	59.354475224	18.078651877				
T	59.354572149	18.075914555				
T	59.354556175	18.074671220				
T	59.354711131	18.071308624				
T	59.354698320	18.070313598				
T	59.354753177	18.069440866				
T	59.354730730	18.067699359				
T	59.354779163	18.066328578				
T	59.354769530	18.065582126				
T	59.354761499	18.064960082				
T	59.354743822	18.063591581				
T	59.354664880	18.062599196				
T	59.354653621	18.061728430				
T	59.354645576	18.061106454				
T	59.354631088	18.059986893				
T	59.354618204	18.058991725				
T	59.354603702	18.057872158				
T	59.354589192	18.056752587				
T	59.354507007	18.055512342				
T	59.354487638	18.054019745				
T	59.354336202	18.052535297				
T	59.354181589	18.050802889				
T	59.354171888	18.050056931				
T	59.354092980	18.049066802				
T	59.353885464	18.048334641				
T	59.353813087	18.047842193				
T	59.353737489	18.047101380				
T	59.353648951	18.045366932				
T	59.353433615	18.044015669				
T	59.353362947	18.043648238				
T	59.353155896	18.042918837				
T	59.353082049	18.042303484				
T	59.352942504	18.041693619				
T	59.352870323	18.041202693				
T	59.352591479	18.039984192				
T	59.352383320	18.039133047				
T	59.352309639	18.038518923				
T	59.351892207	18.036695182				
T	59.351333246	18.034019992				
T	59.351063872	18.033426432				
T	59.350864844	18.033198018				
T	59.350328823	18.032136729				
T	59.349858784	18.031070860				
T	59.349253230	18.029526859				
T	59.348988995	18.029184034				
T	59.348657015	18.028601978				
T	59.348461250	18.028499340				
T	59.347595601	18.026620996				
T	59.347060672	18.025203336				
T	59.346664966	18.024510065				
T	59.346534803	18.024401913				
T	59.346271418	18.023940429				
T	59.345681295	18.023026182				
T	59.345487551	18.022926018				
T	59.345226737	18.022588509				
T	59.344828684	18.021532230				
T	59.344561996	18.020706559				
T	59.344104352	18.019905016				
T	59.343711046	18.019096892				
T	59.343261210	18.018785915				
T	59.342940567	18.018581519				
T	59.342555308	18.018263437				
T	59.342168959	18.017824011				
T	59.342105694	18.017832010				
T	59.341783134	18.017385192				
T	59.341525670	18.017052438				
T	59.340882221	18.016161130				
T	59.340625570	18.015829471				
T	59.340056601	18.015660613				
T	59.339737966	18.015337923				
T	59.338907655	18.014234309				
T	59.338590311	18.013913097				
T	59.338268500	18.013229457				
T	59.337755310	18.012209748				
T	59.337367400	18.011174514				
T	59.336908252	18.009425623				
T	59.336588297	18.008746548				
T	59.336397459	18.008411793				
T	59.336270304	18.008188752				
T	59.336078071	18.007733909				
T	59.335824102	18.007288489				
T	59.335628951	18.006593567				
T	59.335437142	18.006139780				
T	59.335053906	18.005233135				
T	59.334672784	18.004447889				
T	59.334348871	18.003293900				
T	59.334284130	18.003063260				
T	59.334031739	18.002621355				
T	59.333836163	18.001810209				
T	59.333639104	18.000879653				
T	59.333511552	18.000539462				
T	59.333442170	17.999949719				
T	59.333245360	17.999020413				
T	59.333045456	17.997852055				
T	59.332716849	17.996225920				
T	59.332581638	17.995288588				
T	59.332452922	17.994830544				
T	59.332386975	17.994481896				
T	59.332256731	17.993904509				
T	59.332185992	17.993197077				
T	59.332108816	17.992011195				
T	59.332039710	17.991423768				
T	59.332030033	17.990705913				
T	59.331956097	17.989759809				
T	59.331821171	17.988825040				
T	59.331748883	17.987999038				
T	59.331605957	17.986467133				
T	59.331538551	17.986000321				
T	59.331459840	17.984696822				
T	59.331382754	17.983513123				
T	59.331366567	17.982317811				
T	59.331235074	17.981624510				
T	59.331228596	17.981146480				
T	59.331153148	17.980083033				
T	59.331146665	17.979605056				
T	59.331079329	17.979139291				
T	59.331067977	17.978302911				
T	59.330982800	17.976523160				
T	59.330963311	17.975089474				
T	59.330878112	17.973310208				
T	59.330869980	17.972712884				
T	59.330845568	17.970920886				
T	59.331003606	17.969088785				
T	59.331000345	17.968849756				
T	59.330988929	17.968013171				
T	59.331039988	17.967282528				
T	59.331031826	17.966684887				
T	59.331081257	17.965834451				
T	59.331186675	17.964611262				
T	59.331168686	17.963295954				
T	59.331162142	17.962817648				
T	59.331139223	17.961143570				
T	59.331129394	17.960426100				
T	59.331109725	17.958991128				
T	59.331096604	17.958034462				
T	59.331088400	17.957436539				
T	59.331139441	17.956704259				
T	59.331136157	17.956465060				
T	59.331246478	17.955598050				
T	59.331361774	17.955089618				
T	59.331416153	17.954595973				
T	59.331473831	17.954341582	1			
T	59.358482184	18.077119168				
T	59.358474509	18.076526188				
