type	latitude	longitude	name	desc	kml_folder
T	59.471241643	17.697735304			
T	59.471711182	17.693738533			
T	59.472382139	17.691341870			
T	59.472533950	17.689681187			
T	59.472690731	17.688346537			
T	59.473509823	17.683954806			
T	59.474152962	17.679586573			
T	59.474811644	17.676194661			
T	59.475485951	17.673780856			
T	59.475988424	17.671722981			
T	59.476141049	17.670053896			
T	59.477977357	17.661832536			
T	59.478140459	17.660815293			
T	59.478313632	17.660454199			
T	59.478630019	17.657761750			
T	59.479293401	17.654343123			
T	59.480146276	17.651543583			
T	59.480314978	17.650851637			
T	59.480647474	17.649138224			
T	59.480985191	17.647752797			
T	59.482342961	17.642532244			
T	59.483379711	17.639680228			
T	59.484058313	17.636896256			
T	59.484582990	17.635796317			
T	59.485097944	17.634034939			
T	59.485958851	17.631205955			
T	59.486660672	17.629733321			
T	59.487001679	17.628334808			
T	59.487518646	17.626566374			
T	59.488212015	17.624426749			
T	59.488906160	17.622284532			
T	59.489595958	17.619808216			
T	59.489948833	17.619066397			
T	59.490816503	17.616214221			
T	59.491705946	17.614686329			
T	59.492409157	17.612864144			
T	59.492951244	17.612410413			
T	59.493823124	17.609545941			
T	59.494356124	17.608424384			
T	59.495423494	17.606178252			
T	59.495957865	17.605053652			
T	59.496482349	17.603261022			
T	59.497007267	17.601466760			
T	59.497716499	17.599628313			
T	59.498252841	17.598498530			
T	59.498763674	17.595696855			
T	59.499648940	17.593139753			
T	59.500366386	17.591626688			
T	59.500355969	17.590957403			
T	59.501433674	17.588683782			
T	59.502523682	17.587076514			
T	59.503249668	17.585891582			
T	59.504157018	17.584324430			
T	59.504890120	17.583472120			
T	59.505810319	17.582573364			
T	59.506907927	17.580954680			
T	59.507638975	17.579761675			
T	59.508370879	17.578567214			
T	59.509103626	17.577371298			
T	59.510024710	17.576127394			
T	59.510759377	17.574928344			
T	59.511129670	17.574497099			
T	59.511860352	17.572958083			
T	59.512780182	17.571369799			
T	59.513324271	17.569874360			
T	59.513874117	17.568716030			
T	59.514781014	17.566105631			
T	59.515321541	17.564266345			
T	59.516057115	17.562715553			
T	59.516777614	17.560144935			
T	59.517504256	17.557910657			
