type	latitude	longitude	name	desc	kml_folder
T	59.481213429	17.878013842			
T	59.481997858	17.877896458			
T	59.482315804	17.878143159			
T	59.483731241	17.877931690			
T	59.484361439	17.877837526			
T	59.485150151	17.877719669			
T	59.486568660	17.877212278			
T	59.486885221	17.877164881			
T	59.487518865	17.877070005			
T	59.488625516	17.876608357			
T	59.489261067	17.876513011			
T	59.490211800	17.876074015			
T	59.491008527	17.875954260			
T	59.492125780	17.875786309			
T	59.492445388	17.875738260			
T	59.494042163	17.875200819			
T	59.496298358	17.875456849			
T	59.497917497	17.875810502			
T	59.500026713	17.876092709			
T	59.503297978	17.877403417			
T	59.505263153	17.877713872			
T	59.506076701	17.877293686			
T	59.507535274	17.875875129			
T	59.508520205	17.875728891			
T	59.522185596	17.872310324			
T	59.510539689	17.875595480			
T	59.511297500	17.875281957			
T	59.512165667	17.874953081			
T	59.513366227	17.874790422			
T	59.514241532	17.874671818			
T	59.514893589	17.874159057			
T	59.515220002	17.873902365			
T	59.515653742	17.873418432			
T	59.516423750	17.873313074			
T	59.516974622	17.873237693			
T	59.517523398	17.872949705			
T	59.518407460	17.872828486			
T	59.519182544	17.872722202			
T	59.520292290	17.872570011			
T	59.520959545	17.872478496			
T	59.521739346	17.872371536			
T	59.521962412	17.872340938			
T	59.522967669	17.872203039			
T	59.523751194	17.872095547			
T	59.524536174	17.871987846			
T	59.525097768	17.871910789			
T	59.525772666	17.871818180			
T	59.526448640	17.871725416			
T	59.527351620	17.871601491			
T	59.528256525	17.871477290			
T	59.528823073	17.871399523			
T	59.529731121	17.871274872			
T	59.530641113	17.871149942			
T	59.530982862	17.871103022			
T	59.531553055	17.871024733			
T	59.532466951	17.870899244			
T	59.533041998	17.871037200			
T	59.533959089	17.870911492			
T	59.534881023	17.871002507			
T	59.535571621	17.870908008			
T	59.536497029	17.870999192			
T	59.537077501	17.871137868			
T	59.537774523	17.871260977			
T	59.538472675	17.871384287			
T	59.538936818	17.871321235			
T	59.539753158	17.871428990			
T	59.540568163	17.871318472			
T	59.541151256	17.871239396			
T	59.541618300	17.871176055			
T	59.542436847	17.871065035			
T	59.543019586	17.870766484			
T	59.543485771	17.870483494			
T	59.544540160	17.870120001			
T	59.545010895	17.870055769			
T	59.545833019	17.869723336			
T	59.546302266	17.869438798			
T	59.547129763	17.869325433			
T	59.547837401	17.869007707			
T	59.548667840	17.868893705			
T	59.549496963	17.868558666			
T	59.550566150	17.868190094			
T	59.550801841	17.867936056			
T	59.551515520	17.867615756			
T	59.551990988	17.867328099			
T	59.552466980	17.867040109			
T	59.553063435	17.866735108			
T	59.553777931	17.866190989			
T	59.554376195	17.865884909			
T	59.555448713	17.864843641			
T	59.555928521	17.864553059			
