NAME,VALUE,SCENARIO,REGION,REGION2,DAYTYPE,FUEL,EMISSION,DAILYTIMEBRACKET,SEASON,TIMESLICE,MODE_OF_OPERATION,STORAGE,TECHNOLOGY,YEAR,PARAM,REGION_x,REGION_y
TotCapacityAnn,540.0,,STOCKHOLM,,,,,,,,,,VVNHP,2045.0,ResidualCapacity,,
TotCapacityAnn,540.0,,STOCKHOLM,,,,,,,,,,VVNHP,2046.0,ResidualCapacity,,
TotCapacityAnn,540.0,,STOCKHOLM,,,,,,,,,,VVNHP,2047.0,ResidualCapacity,,
TotCapacityAnn,540.0,,STOCKHOLM,,,,,,,,,,VVNHP,2048.0,ResidualCapacity,,
TotCapacityAnn,540.0,,STOCKHOLM,,,,,,,,,,VVNHP,2049.0,ResidualCapacity,,
TotCapacityAnn,108.0,,STOCKHOLM,,,,,,,,,,BristaB1,2023.0,ResidualCapacity,,
TotCapacityAnn,108.0,,STOCKHOLM,,,,,,,,,,BristaB1,2024.0,ResidualCapacity,,
TotCapacityAnn,108.0,,STOCKHOLM,,,,,,,,,,BristaB1,2025.0,ResidualCapacity,,
TotCapacityAnn,108.0,,STOCKHOLM,,,,,,,,,,BristaB1,2026.0,ResidualCapacity,,
TotCapacityAnn,108.0,,STOCKHOLM,,,,,,,,,,BristaB1,2027.0,ResidualCapacity,,
TotCapacityAnn,97.0,,STOCKHOLM,,,,,,,,,,BristaB1,2028.0,ResidualCapacity,,
TotCapacityAnn,86.0,,STOCKHOLM,,,,,,,,,,BristaB1,2029.0,ResidualCapacity,,
TotCapacityAnn,76.0,,STOCKHOLM,,,,,,,,,,BristaB1,2030.0,ResidualCapacity,,
TotCapacityAnn,65.0,,STOCKHOLM,,,,,,,,,,BristaB1,2031.0,ResidualCapacity,,
TotCapacityAnn,54.0,,STOCKHOLM,,,,,,,,,,BristaB1,2032.0,ResidualCapacity,,
TotCapacityAnn,43.0,,STOCKHOLM,,,,,,,,,,BristaB1,2033.0,ResidualCapacity,,
TotCapacityAnn,32.0,,STOCKHOLM,,,,,,,,,,BristaB1,2034.0,ResidualCapacity,,
TotCapacityAnn,22.0,,STOCKHOLM,,,,,,,,,,BristaB1,2034.0,ResidualCapacity,,
TotCapacityAnn,11.0,,STOCKHOLM,,,,,,,,,,BristaB1,2035.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,BristaB1,2036.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,BristaB1,2037.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,BristaB1,2038.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,BristaB1,2039.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,BristaB1,2040.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,BristaB1,2041.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,BristaB1,2042.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,BristaB1,2043.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,BristaB1,2044.0,ResidualCapacity,,
TotCapacityAnn,168.56235941404526,,STOCKHOLM,,,,,,,,,,BristaB1,2045.0,ResidualCapacity,,
TotCapacityAnn,249.80716752459773,,STOCKHOLM,,,,,,,,,,BristaB1,2046.0,ResidualCapacity,,
TotCapacityAnn,306.51356666204333,,STOCKHOLM,,,,,,,,,,BristaB1,2047.0,ResidualCapacity,,
TotCapacityAnn,375.6081291739305,,STOCKHOLM,,,,,,,,,,BristaB1,2048.0,ResidualCapacity,,
TotCapacityAnn,400.0,,STOCKHOLM,,,,,,,,,,BristaB1,2049.0,ResidualCapacity,,
TotCapacityAnn,414.0,,STOCKHOLM,,,,,,,,,,KVV8,2023.0,ResidualCapacity,,
TotCapacityAnn,414.0,,STOCKHOLM,,,,,,,,,,KVV8,2024.0,ResidualCapacity,,
TotCapacityAnn,414.0,,STOCKHOLM,,,,,,,,,,KVV8,2025.0,ResidualCapacity,,
TotCapacityAnn,414.0,,STOCKHOLM,,,,,,,,,,KVV8,2026.0,ResidualCapacity,,
TotCapacityAnn,414.0,,STOCKHOLM,,,,,,,,,,KVV8,2027.0,ResidualCapacity,,
TotCapacityAnn,414.0,,STOCKHOLM,,,,,,,,,,KVV8,2028.0,ResidualCapacity,,
TotCapacityAnn,414.0,,STOCKHOLM,,,,,,,,,,KVV8,2029.0,ResidualCapacity,,
TotCapacityAnn,414.0,,STOCKHOLM,,,,,,,,,,KVV8,2030.0,ResidualCapacity,,
TotCapacityAnn,414.0,,STOCKHOLM,,,,,,,,,,KVV8,2031.0,ResidualCapacity,,
TotCapacityAnn,414.0,,STOCKHOLM,,,,,,,,,,KVV8,2032.0,ResidualCapacity,,
TotCapacityAnn,414.0,,STOCKHOLM,,,,,,,,,,KVV8,2033.0,ResidualCapacity,,
TotCapacityAnn,414.0,,STOCKHOLM,,,,,,,,,,KVV8,2034.0,ResidualCapacity,,
TotCapacityAnn,414.0,,STOCKHOLM,,,,,,,,,,KVV8,2035.0,ResidualCapacity,,
TotCapacityAnn,414.0,,STOCKHOLM,,,,,,,,,,KVV8,2036.0,ResidualCapacity,,
TotCapacityAnn,414.0,,STOCKHOLM,,,,,,,,,,KVV8,2037.0,ResidualCapacity,,
TotCapacityAnn,414.0,,STOCKHOLM,,,,,,,,,,KVV8,2038.0,ResidualCapacity,,
TotCapacityAnn,414.0,,STOCKHOLM,,,,,,,,,,KVV8,2039.0,ResidualCapacity,,
TotCapacityAnn,414.0,,STOCKHOLM,,,,,,,,,,KVV8,2040.0,ResidualCapacity,,
TotCapacityAnn,373.0,,STOCKHOLM,,,,,,,,,,KVV8,2041.0,ResidualCapacity,,
TotCapacityAnn,331.0,,STOCKHOLM,,,,,,,,,,KVV8,2042.0,ResidualCapacity,,
TotCapacityAnn,290.0,,STOCKHOLM,,,,,,,,,,KVV8,2043.0,ResidualCapacity,,
TotCapacityAnn,248.0,,STOCKHOLM,,,,,,,,,,KVV8,2044.0,ResidualCapacity,,
TotCapacityAnn,207.0,,STOCKHOLM,,,,,,,,,,KVV8,2045.0,ResidualCapacity,,
TotCapacityAnn,166.0,,STOCKHOLM,,,,,,,,,,KVV8,2046.0,ResidualCapacity,,
TotCapacityAnn,124.0,,STOCKHOLM,,,,,,,,,,KVV8,2047.0,ResidualCapacity,,
TotCapacityAnn,83.0,,STOCKHOLM,,,,,,,,,,KVV8,2048.0,ResidualCapacity,,
TotCapacityAnn,41.0,,STOCKHOLM,,,,,,,,,,KVV8,2049.0,ResidualCapacity,,
TotCapacityAnn,430.0,,STOCKHOLM,,,,,,,,,,VVHVELHOB,2023.0,ResidualCapacity,,
TotCapacityAnn,387.0,,STOCKHOLM,,,,,,,,,,VVHVELHOB,2024.0,ResidualCapacity,,
TotCapacityAnn,344.0,,STOCKHOLM,,,,,,,,,,VVHVELHOB,2025.0,ResidualCapacity,,
TotCapacityAnn,301.0,,STOCKHOLM,,,,,,,,,,VVHVELHOB,2026.0,ResidualCapacity,,
TotCapacityAnn,258.0,,STOCKHOLM,,,,,,,,,,VVHVELHOB,2027.0,ResidualCapacity,,
TotCapacityAnn,215.0,,STOCKHOLM,,,,,,,,,,VVHVELHOB,2028.0,ResidualCapacity,,
TotCapacityAnn,172.0,,STOCKHOLM,,,,,,,,,,VVHVELHOB,2029.0,ResidualCapacity,,
TotCapacityAnn,129.0,,STOCKHOLM,,,,,,,,,,VVHVELHOB,2030.0,ResidualCapacity,,
TotCapacityAnn,102.04206080756663,,STOCKHOLM,,,,,,,,,,VVHVELHOB,2031.0,ResidualCapacity,,
TotCapacityAnn,130.64079819305482,,STOCKHOLM,,,,,,,,,,VVHVELHOB,2032.0,ResidualCapacity,,
TotCapacityAnn,162.06704198800048,,STOCKHOLM,,,,,,,,,,VVHVELHOB,2033.0,ResidualCapacity,,
TotCapacityAnn,284.2162797703142,,STOCKHOLM,,,,,,,,,,VVHVELHOB,2034.0,ResidualCapacity,,
TotCapacityAnn,329.11114631519763,,STOCKHOLM,,,,,,,,,,VVHVELHOB,2035.0,ResidualCapacity,,
TotCapacityAnn,370.6949748744353,,STOCKHOLM,,,,,,,,,,VVHVELHOB,2036.0,ResidualCapacity,,
