NAME,VALUE,SCENARIO,REGION,REGION2,DAYTYPE,FUEL,EMISSION,DAILYTIMEBRACKET,SEASON,TIMESLICE,MODE_OF_OPERATION,STORAGE,TECHNOLOGY,YEAR,PARAM,REGION_x,REGION_y
NewCapacity,10.0,0.0,STOCKHOLM,,,,,,,,,,BristaB2,2025,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB2,2026,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB2,2027,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB2,2028,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB2,2029,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB2,2030,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB2,2031,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB2,2032,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB2,2033,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB2,2034,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB2,2035,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB2,2036,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB2,2037,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB2,2038,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB2,2039,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB2,2040,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB2,2041,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB2,2042,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB2,2043,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB2,2044,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB2,2045,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB2,2046,,,
